id,Civilite,Age,EpouseFrat,ParentsEnf
id601,Mr,42,0,0
id602,Master,13,0,2
id603,Mr,16,1,1
id604,Mrs,35,1,1
id605,Miss,16,0,0
id606,Mr,25,0,0
id607,Mr,20,0,0
id608,Mrs,18,0,0
id609,Mr,30,0,0
id610,Mr,26,0,0
id611,Mrs,40,1,0
id612,Master,0.8333,0,1
id613,Mrs,18,0,1
id614,Mr,26,0,0
id615,Mr,26,0,0
id616,Mr,20,0,0
id617,Mr,24,0,0
id618,Mr,25,0,0
id619,Mr,35,0,0
id620,Mr,18,0,0
id621,Mr,32,0,0
id622,Miss,19,1,0
id623,Master,4,4,2
id624,Miss,6,4,2
id625,Miss,2,4,2
id626,Miss,17,4,2
id627,Miss,38,4,2
id628,Miss,9,4,2
id629,Miss,11,4,2
id630,Mr,39,1,5
id631,Mr,27,0,0
id632,Mr,26,0,0
id633,Mrs,39,1,5
id634,Mr,20,0,0
id635,Mr,26,0,0
id636,Mr,25,1,0
id637,Mrs,18,1,0
id638,Mr,24,0,0
id639,Mr,35,0,0
id640,Master,5,4,2
id641,Master,9,4,2
id642,Master,3,4,2
id643,Master,13,4,2
id644,Miss,5,4,2
id645,Mr,40,1,5
id646,Mr,23,0,0
id647,Mrs,38,1,5
id648,Mrs,45,0,0
id649,Mr,21,0,0
id650,Mr,23,0,0
id651,Miss,17,0,0
id652,Mr,30,0,0
id653,Mr,23,0,0
id654,Miss,13,0,0
id655,Mr,20,0,0
id656,Mr,32,1,0
id657,Mrs,33,3,0
id658,Miss,0.75,2,1
id659,Miss,0.75,2,1
id660,Miss,5,2,1
id661,Mrs,24,0,3
id662,Miss,18,0,0
id663,Mr,40,0,0
id664,Mr,26,0,0
id665,Mr,20,0,0
id666,Miss,18,0,1
id667,Mrs,45,0,1
id668,Miss,27,0,0
id669,Mr,22,0,0
id670,Mr,19,0,0
id671,Mr,26,0,0
id672,Mr,22,0,0
id673,Master,,0,0
id674,Mr,20,0,0
id675,Mr,32,0,0
id676,Mr,21,0,0
id677,Mr,18,0,0
id678,Mr,26,0,0
id679,Master,6,1,1
id680,Miss,9,1,1
id681,Mr,,0,0
id682,Mrs,,0,2
id683,Miss,,0,2
id684,Mr,40,1,1
id685,Mrs,32,1,1
id686,Mr,21,0,0
id687,Miss,22,0,0
id688,Miss,20,0,0
id689,Mr,29,1,0
id690,Mr,22,1,0
id691,Mr,22,0,0
id692,Mr,35,0,0
id693,Miss,18.5,0,0
id694,Mr,21,0,0
id695,Mr,19,0,0
id696,Miss,18,0,0
id697,Miss,21,0,0
id698,Miss,30,0,0
id699,Mr,18,0,0
id700,Mr,38,0,0
id701,Mr,17,0,0
id702,Mr,17,0,0
id703,Miss,21,0,0
id704,Mr,21,0,0
id705,Mr,21,0,0
id706,Mr,,1,0
id707,Mrs,,1,0
id708,Mr,28,0,0
id709,Mr,24,0,0
id710,Miss,16,0,0
id711,Miss,37,0,0
id712,Mr,28,0,0
id713,Mr,24,0,0
id714,Mr,21,0,0
id715,Mr,32,0,0
id716,Mr,29,0,0
id717,Mr,26,1,0
id718,Mr,18,1,0
id719,Mr,20,0,0
id720,Mr,18,0,0
id721,ColM,24,0,0
id722,ColM,36,0,0
id723,ColM,24,0,0
id724,Mr,31,0,0
id725,Mr,31,0,0
id726,Miss,22,0,0
id727,Miss,30,0,0
id728,Mr,70.5,0,0
id729,Mr,43,0,0
id730,Mr,35,0,0
id731,Mr,27,0,0
id732,Mr,19,0,0
id733,Mr,30,0,0
id734,Master,9,1,1
id735,Master,3,1,1
id736,Mrs,36,0,2
id737,Mr,59,0,0
id738,Mr,19,0,0
id739,Miss,17,0,1
id740,Mr,44,0,1
id741,Mr,17,0,0
id742,Mr,22.5,0,0
id743,Mr,45,0,0
id744,Miss,22,0,0
id745,Mr,19,0,0
id746,Miss,30,0,0
id747,Mr,29,0,0
id748,Master,0.3333,0,2
id749,Mr,34,1,1
id750,Mrs,28,1,1
id751,Mr,27,0,0
id752,Mr,25,0,0
id753,Mr,24,2,0
id754,Mr,22,0,0
id755,Mr,21,2,0
id756,Mr,17,2,0
id757,Mr,,1,0
id758,Mrs,,1,0
id759,Mr,36.5,1,0
id760,Mrs,36,1,0
id761,Mr,30,0,0
id762,Mr,16,0,0
id763,Master,1,1,2
id764,Miss,0.1667,1,2
id765,Mr,26,1,2
id766,Mrs,33,1,2
id767,Mr,25,0,0
id768,Mr,,0,0
id769,Mr,,0,0
